---SFT---,
MeasureDate:,20250722_163039,
CWFi:,5,
CCWFi:,5,
CWfii:,5,
CCWfii:,4,
CWfl:,6,
CCWfl:,5,
CWfk:,1,
CCWfk:,1,
CWFiValue:,24.1,
CCWFiValue:,18.2,
CWfiiValue:,11.17,
CCWfiiValue:,7.68,
CWflValue:,23.12,
CCWflValue:,18.13,
CWfkValue:,2.83,
CCWfkValue:,2.54,
BacklashMeanValue:,96.52,
BacklashDiffValue:,16.06,
BacklashMaxValue:,102.97,
BacklashMinValue:,86.92,
CWTotalTime:,21.1226349,
CCWTotalTime:,21.1253035,
XAxisLocation:,28.256,
YAxisLocation:,35.258,
ZAxisLocation:,0,
XAxisRelLocation:,23.958,
YAxisRelLocation:,30.96,
ZAxisRelLocation:,0,
JudgeResult:,6,
,CWResultXArray,CWResultYArray,CCWResultXArray,CCWResultYArray,BacklashXArray,BacklashYArray,
SFT:,65.193,-6.981317007975922,65.298,-100.53096491487231,65.193,93.5496479068964,
SFT:,65.751,-7.330382858376463,65.854,-101.92722831646954,65.751,94.59684545809307,
SFT:,66.305,-7.330382858376463,66.419,-102.27629416686491,66.305,94.94591130848845,
SFT:,66.87,-7.330382858376463,66.976,-102.62536001726552,66.87,95.29497715888905,
SFT:,67.44,-8.028514559172555,67.351,-102.62536001726552,67.44,94.59684545809297,
SFT:,67.998,-6.981317007980879,67.918,-103.67255756846701,67.998,96.69124056048614,
SFT:,68.377,-6.981317007975922,68.478,-104.02162341885784,68.377,97.04030641088193,
SFT:,68.937,-7.330382858376463,68.661,-104.71975511965873,68.937,97.38937226128226,
SFT:,69.49,-7.330382858376463,69.219,-104.71975511965873,69.49,97.38937226128226,
SFT:,69.671,-6.632251157580372,69.782,-105.06882097005933,69.671,98.43656981247896,
SFT:,70.228,-7.330382858376463,70.341,-105.41788682045471,70.228,98.08750396207824,
SFT:,70.776,-6.283185307179831,70.89,-105.41788682045994,70.776,99.1347015132801,
SFT:,71.337,-6.632251157580372,71.443,-105.76695267085532,71.337,99.13470151327495,
SFT:,71.886,-5.93411945677929,71.993,-104.71975511965873,71.886,98.78563566287944,
SFT:,72.439,-5.93411945677929,72.372,-104.71975511965873,72.439,98.78563566287944,
SFT:,72.807,-5.93411945677929,72.928,-104.37068926925811,72.807,98.43656981247882,
SFT:,73.354,-5.93411945677929,73.48,-104.37068926926335,73.354,98.43656981248407,
SFT:,73.911,-6.632251157580372,73.859,-104.02162341885784,73.911,97.38937226127747,
SFT:,74.47,-7.330382858376463,74.419,-103.3234917180615,74.47,95.99310885968504,
SFT:,74.856,-8.377580409573095,74.976,-103.3234917180615,74.856,94.9459113084884,
SFT:,75.409,-7.679448708777003,75.155,-102.97442586766613,75.409,95.29497715888913,
SFT:,75.967,-8.377580409573095,75.715,-102.62536001726552,75.967,94.24777960769242,
SFT:,76.143,-8.377580409573095,76.278,-102.2762941668698,76.143,93.8987137572967,
SFT:,76.706,-8.72664625997364,76.834,-101.92722831646954,76.706,93.2005820564959,
SFT:,77.27,-8.72664625996868,77.391,-101.92722831646954,77.27,93.20058205650086,
SFT:,77.822,-8.72664625997364,77.943,-101.57816246606893,77.822,92.8515162060953,
SFT:,78.381,-9.075712110369187,78.319,-101.57816246606893,78.381,92.50245035569975,
SFT:,78.928,-8.377580409573095,78.881,-101.2290966156732,78.928,92.8515162061001,
SFT:,79.494,-8.377580409573095,79.445,-101.22909661566831,79.494,92.85151620609521,
SFT:,79.886,-8.72664625996868,79.631,-101.2290966156732,79.886,92.50245035570453,
SFT:,80.442,-9.075712110369187,80.183,-101.2290966156732,80.442,92.15338450530402,
SFT:,80.997,-8.72664625997364,80.74,-100.88003076527295,80.997,92.15338450529931,
SFT:,81.174,-9.075712110374178,81.477,-100.18189906447661,81.174,91.10618695410243,
SFT:,81.923,-9.77384381117027,81.839,-100.53096491487231,81.923,90.75712110370205,
SFT:,82.472,-9.424777960769726,82.397,-101.2290966156732,82.472,91.80431865490347,
SFT:,82.655,-9.424777960769726,82.953,-101.2290966156732,82.655,91.80431865490347,
SFT:,83.211,-9.773843811165312,83.334,-101.92722831646954,83.211,92.15338450530423,
SFT:,83.773,-9.773843811165312,83.879,-102.62536001727041,83.773,92.8515162061051,
SFT:,84.327,-10.122909661565853,84.443,-103.3234917180615,84.327,93.20058205649565,
SFT:,84.886,-9.424777960769726,84.824,-103.3234917180615,84.886,93.89871375729177,
SFT:,85.448,-9.424777960764771,85.383,-104.02162341886275,85.448,94.59684545809797,
SFT:,85.822,-9.424777960769726,85.941,-104.71975511965873,85.822,95.294977158889,
